id,objectid,zone,district,population,pga_value,severity_class,dist_id,reg_code,zone_code,ocha_pcode,hlcit_code,first_dist,min_paramv,first_class,shape_leng,shape_area,injuries,fatalities
34,175,Gandaki,Manang,"9,471",0.08,Moderate,41,524 3,524 3 07,W-GAN-41,524 3 07 38,Manang,0.08,Moderate,1.216363698,0.016855031,9141,251
35,28,Koshi,Morang,"1,251,498",0.02,Light,5,524 1,524 1 02,E-KOS-05,524 1 02 05,Morang,0.02,Light,2.007488413,0.160575154,4918,273
36,24,Karnali,Mugu,"65,852",0.02,Light,65,524 4,524 4 12,M-KAR-65,524 4 12 65,Mugu,0.02,Light,4.499762665,0.235981298,1040,824
37,71,Dhawalagiri,Mustang,"16,583",0.04,Moderate,42,524 3,524 3 08,W-DHA-42,524 3 08 45,Mustang,0.04,Moderate,1.21112843,0.015592491,7469,626
38,72,Dhawalagiri,Myagdi,"136,357",0.04,Moderate,43,524 3,524 3 08,W-DHA-43,524 3 08 44,Myagdi,0.04,Moderate,1.314640094,0.040443512,5840,115
39,146,Lumbini,Nawalparasi,"743,787",0.08,Moderate,48,524 3,524 3 09,W-LUM-48,524 3 09 47,Nawalparasi,0.08,Moderate,0.032613993,3.59025E-05,5651,231
40,393,Bagmati,Nuwakot,"327,111",0.24,Very Strong,28,524 2,524 2 05,C-BAG-28,524 2 05 28,Nuwakot,0.12,Strong,0.011338972,7.52516E-06,4891,37
41,54,Sagarmatha,Okhaldhunga,"170,827",0.04,Moderate,12,524 1,524 1 03,E-SAG-12,524 1 03 13,Okhaldhunga,0.04,Moderate,1.642184453,0.098149608,182,158
42,335,Lumbini,Palpa,"315,743",0.16,Strong,47,524 3,524 3 09,W-LUM-47,524 3 09 46,Palpa,0.08,Moderate,0.056073238,0.000209328,7173,950
43,35,Mechi,Panchthar,"67,463",0.02,Light,2,524 1,524 1 01,E-MEC-02,524 1 01 02,Panchthar,0.02,Light,0.809602515,0.026512766,9075,452
44,286,Dhawalagiri,Parbat,"170,055",0.12,Strong,44,524 3,524 3 08,W-DHA-44,524 3 08 42,Parbat,0.08,Moderate,0.034341184,7.10203E-05,9474,850
45,321,Narayani,Parsa,"737,118",0.16,Strong,34,524 2,524 2 06,C-NAR-34,524 2 06 34,Parsa,0.12,Strong,0.080425831,0.000280791,7222,91
46,66,Rapti,Pyuthan,"287,672",0.04,Moderate,52,524 4,524 4 10,M-RAP-52,524 4 10 55,Pyuthan,0.04,Moderate,2.291132538,0.121322222,440,576
47,43,Janakpur,Ramechhap,"246,381",0.04,Moderate,21,524 2,524 2 04,C-JAN-21,524 2 04 21,Ramechhap,0.04,Moderate,0.022007853,2.44864E-05,5786,490
48,366,Bagmati,Rasuwa,"54,144",0.2,Very Strong,29,524 2,524 2 05,C-BAG-29,524 2 05 29,Rasuwa,0.08,Moderate,0.01994966,1.26371E-05,5317,746
49,236,Narayani,Rautahat,"771,359",0.12,Strong,32,524 2,524 2 06,C-NAR-32,524 2 06 32,Rautahat,0.08,Moderate,0.052143678,6.71146E-05,1492,444
50,67,Rapti,Rolpa,"264,249",0.04,Moderate,53,524 4,524 4 10,M-RAP-53,524 4 10 54,Rolpa,0.04,Moderate,2.273804893,0.173521349,5838,39
51,68,Rapti,Rukum,"250,547",0.04,Moderate,54,524 4,524 4 10,M-RAP-54,524 4 10 52,Rukum,0.04,Moderate,3.142370538,0.267372299,2688,876
52,251,Lumbini,Rupandehi,"1,106,381",0.12,Strong,49,524 3,524 3 09,W-LUM-49,524 3 09 48,Rupandehi,0.04,Moderate,0.678611048,0.01337387,183,971
53,117,Rapti,Salyan,"296,452",0.04,Moderate,55,524 4,524 4 10,M-RAP-55,524 4 10 53,Salyan,0.02,Light,0.011377449,4.51601E-06,6035,219
54,443,Koshi,Sankhuwasabha,"187,609",0.04,Moderate,9,524 1,524 1 02,E-KOS-09,524 1 02 09,Sankhuwasabha,0.02,Light,0.010434359,5E-11,3394,449
55,57,Sagarmatha,Saptari,"806,433",0.04,Moderate,15,524 1,524 1 03,E-SAG-15,524 1 03 15,Saptari,0.02,Light,2.695856452,0.110371666,1079,393
56,46,Janakpur,Sarlahi,"930,939",0.04,Moderate,19,524 2,524 2 04,C-JAN-19,524 2 04 19,Sarlahi,0.04,Moderate,0.774432561,0.01038689,1425,596
57,47,Janakpur,Sindhuli,"353,354",0.04,Moderate,20,524 2,524 2 04,C-JAN-20,524 2 04 20,Sindhuli,0.04,Moderate,2.920066258,0.153879311,6734,472
58,281,Bagmati,Sindhupalchok,"336,829",0.12,Strong,23,524 2,524 2 05,C-BAG-23,524 2 05 23,Sindhupalchok,0.08,Moderate,0.036305171,9.28081E-05,5371,437
59,58,Sagarmatha,Siraha,"769,722",0.04,Moderate,16,524 1,524 1 03,E-SAG-16,524 1 03 16,Siraha,0.04,Moderate,1.841484814,0.103387541,153,101
60,53,Sagarmatha,Solukhumbu,"129,883",0.04,Moderate,11,524 1,524 1 03,E-SAG-11,524 1 03 11,Solukhumbu,0.04,Moderate,2.940150972,0.306973606,1012,685
61,50,Koshi,Sunsari,"828,607",0.04,Moderate,6,524 1,524 1 02,E-KOS-06,524 1 02 06,Sunsari,0.02,Light,1.610170909,0.060096952,9623,641
63,61,Bheri,Surkhet,"142,299",0.04,Moderate,59,524 4,524 4 11,M-BHE-59,524 4 11 59,Surkhet,0.02,Light,0.091378391,0.000429429,8579,904
64,246,Gandaki,Syangja,"308,334",0.12,Strong,39,524 3,524 3 07,W-GAN-39,524 3 07 41,Syangja,0.08,Moderate,1.611535291,0.072857438,3100,580
65,422,Gandaki,Tanahu,"409,691",0.36,Severe,38,524 3,524 3 07,W-GAN-38,524 3 07 40,Tanahu,0.12,Severe,0.208951737,0.00080563,3595,534
66,34,Mechi,Taplejung,"30,490",0.02,Light,1,524 1,524 1 01,E-MEC-01,524 1 01 01,Taplejung,0.02,Light,1.30612561,0.063794082,5535,370
67,31,Koshi,Terhathum,"92,354",0.02,Light,8,524 1,524 1 02,E-KOS-08,524 1 02 08,Terhathum,0.02,Light,1.031147534,0.051509628,1650,892
68,14,Sagarmatha,Udayapur,"440,802",0.02,Light,14,524 1,524 1 03,E-SAG-14,524 1 03 14,Udayapur,0.02,Light,0.24121628,0.001394453,7487,343
